collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-14T08:05:30+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T08:06:57+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T08:57:06+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T09:46:28+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T09:57:17+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T10:49:58+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T11:30:30+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T11:46:57+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T11:57:46+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T13:50:46+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T14:00:29+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T14:48:43+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T14:59:29+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T15:44:35+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T15:58:52+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T16:52:07+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
2025-08-14T17:40:06+00:00,2025-08-15,ICN,NRT,7C,7C1107,2025-08-15T15:10:00,2025-08-15T17:30:00,0,PT2H20M,138200.0,KRW
